,STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
10,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",AT,Austria,2025-Q3,,115379.6,,,,,
11,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",AT,Austria,2025-Q4,,115569.4,,,,,
12,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2023-Q1,,134966.1,,,,,
13,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2023-Q2,,136030.4,,,,,
14,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2023-Q3,,136734.2,,,,,
15,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2023-Q4,,137580.0,,,,,
16,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2024-Q1,,138519.3,,p,provisional,,
17,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2024-Q2,,139815.3,,p,provisional,,
18,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2024-Q3,,141145.2,,p,provisional,,
19,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2024-Q4,,141933.5,,p,provisional,,
20,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2025-Q1,,143681.4,,p,provisional,,
21,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2025-Q2,,144784.4,,p,provisional,,
22,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2025-Q3,,146136.7,,p,provisional,,
23,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",BE,Belgium,2025-Q4,,146862.0,,p,provisional,,
24,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2023-Q1,,6994.6,,,,,
25,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2023-Q2,,7128.8,,,,,
26,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2023-Q3,,7260.0,,,,,
27,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2023-Q4,,7393.5,,,,,
28,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2024-Q1,,7556.0,,,,,
29,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2024-Q2,,7658.1,,,,,
30,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2024-Q3,,7785.3,,,,,
31,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2024-Q4,,7865.3,,,,,
32,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2025-Q1,,7972.3,,,,,
33,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2025-Q2,,8045.3,,,,,
34,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2025-Q3,,8144.5,,,,,
35,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",CY,Cyprus,2025-Q4,,8348.0,,,,,
36,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2023-Q1,,949934.0,,p,provisional,,
37,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2023-Q2,,958367.0,,p,provisional,,
38,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2023-Q3,,966428.0,,p,provisional,,
39,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2023-Q4,,980547.0,,p,provisional,,
40,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2024-Q1,,973558.0,,p,provisional,,
41,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2024-Q2,,979419.0,,p,provisional,,
42,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2024-Q3,,979424.0,,p,provisional,,
43,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2024-Q4,,991281.0,,p,provisional,,
44,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2025-Q1,,998525.0,,p,provisional,,
45,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2025-Q2,,1009826.0,,p,provisional,,
46,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2025-Q3,,1012545.0,,p,provisional,,
47,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",DE,Germany,2025-Q4,,1031523.0,,p,provisional,,
48,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2023-Q1,,8433.2,,,,,
49,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2023-Q2,,8447.9,,,,,
50,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2023-Q3,,8434.0,,,,,
51,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2023-Q4,,8499.3,,,,,
52,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2024-Q1,,8571.6,,,,,
53,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2024-Q2,,8685.7,,,,,
54,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2024-Q3,,8794.1,,,,,
55,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2024-Q4,,8869.4,,,,,
56,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2025-Q1,,8972.7,,,,,
57,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2025-Q2,,9058.7,,,,,
58,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2025-Q3,,9103.2,,,,,
59,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EE,Estonia,2025-Q4,,9153.3,,,,,
60,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2023-Q1,,48016.3,,p,provisional,,
61,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2023-Q2,,48552.2,,p,provisional,,
62,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2023-Q3,,49003.9,,p,provisional,,
63,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2023-Q4,,49837.9,,p,provisional,,
64,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2024-Q1,,50337.6,,p,provisional,,
65,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2024-Q2,,51106.6,,p,provisional,,
66,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2024-Q3,,51480.1,,p,provisional,,
67,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2024-Q4,,52001.7,,p,provisional,,
68,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2025-Q1,,52382.6,,p,provisional,,
69,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2025-Q2,,53303.4,,p,provisional,,
70,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2025-Q3,,53849.9,,p,provisional,,
71,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",EL,Greece,2025-Q4,,53917.0,,p,provisional,,
72,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2023-Q1,,336409.0,,p,provisional,,
73,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2023-Q2,,335683.0,,p,provisional,,
74,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2023-Q3,,341159.0,,p,provisional,,
75,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2023-Q4,,353500.0,,p,provisional,,
76,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2024-Q1,,357357.0,,p,provisional,,
77,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2024-Q2,,359823.0,,p,provisional,,
78,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2024-Q3,,364470.0,,p,provisional,,
79,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2024-Q4,,370933.0,,p,provisional,,
80,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2025-Q1,,374369.0,,p,provisional,,
81,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2025-Q2,,377809.0,,p,provisional,,
82,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2025-Q3,,382635.0,,p,provisional,,
83,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",ES,Spain,2025-Q4,,393996.0,,p,provisional,,
84,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",FI,Finland,2023-Q1,,59694.0,,,,,
85,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",FI,Finland,2023-Q2,,60356.0,,,,,
86,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",FI,Finland,2023-Q3,,59786.0,,,,,
87,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",FI,Finland,2023-Q4,,59285.0,,,,,
88,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",FI,Finland,2024-Q1,,59654.0,,,,,
89,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",FI,Finland,2024-Q2,,60169.0,,,,,
90,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",FI,Finland,2024-Q3,,60747.0,,,,,
91,dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data",Q,Quarterly,CP_MEUR,"Current prices, million euro",SCA,Seasonally and calendar adjusted data,B1G,"Value added, gross",FI,Finland,2024-Q4,,60769.0,,,,,
