Year,Country,Value,Variable
2007,Finland,101.2072,GDP per hour worked
2008,Finland,100.029482,GDP per hour worked
2009,Finland,95.574834,GDP per hour worked
2010,Finland,98.890126,GDP per hour worked
2011,Finland,100.283015,GDP per hour worked
2012,Finland,98.685671,GDP per hour worked
2013,Finland,99.005839,GDP per hour worked
2014,Finland,99.23664,GDP per hour worked
2015,Finland,100.0,GDP per hour worked
2016,Finland,102.402464,GDP per hour worked
2017,Finland,104.965323,GDP per hour worked
2018,Finland,103.730121,GDP per hour worked
2019,Finland,104.021717,GDP per hour worked
2020,Finland,104.199854,GDP per hour worked
2021,Finland,105.554282,GDP per hour worked
2022,Finland,106.071557,GDP per hour worked
2000,France,87.525502,GDP per hour worked
2001,France,89.163111,GDP per hour worked
2002,France,91.766179,GDP per hour worked
2003,France,92.289942,GDP per hour worked
2004,France,93.309866,GDP per hour worked
2005,France,94.138072,GDP per hour worked
2006,France,96.481781,GDP per hour worked
2007,France,96.0296,GDP per hour worked
2008,France,95.416924,GDP per hour worked
2009,France,94.440997,GDP per hour worked
2010,France,95.663522,GDP per hour worked
2011,France,96.621402,GDP per hour worked
2012,France,96.937089,GDP per hour worked
2013,France,98.249867,GDP per hour worked
2014,France,99.195227,GDP per hour worked
2015,France,100.0,GDP per hour worked
2016,France,100.279427,GDP per hour worked
2017,France,102.395091,GDP per hour worked
2018,France,102.814627,GDP per hour worked
2019,France,103.215736,GDP per hour worked
2020,France,103.5224,GDP per hour worked
2021,France,101.711063,GDP per hour worked
2022,France,99.761299,GDP per hour worked
2000,Germany,87.068634,GDP per hour worked
2001,Germany,89.255258,GDP per hour worked
2002,Germany,90.082726,GDP per hour worked
2003,Germany,90.775624,GDP per hour worked
2004,Germany,91.602335,GDP per hour worked
2005,Germany,93.047959,GDP per hour worked
2006,Germany,94.536022,GDP per hour worked
2007,Germany,95.652946,GDP per hour worked
2008,Germany,95.677826,GDP per hour worked
2009,Germany,92.797837,GDP per hour worked
2010,Germany,94.936987,GDP per hour worked
2011,Germany,97.40629,GDP per hour worked
2012,Germany,98.007256,GDP per hour worked
2013,Germany,98.472527,GDP per hour worked
2014,Germany,99.49312,GDP per hour worked
2015,Germany,100.0,GDP per hour worked
2016,Germany,101.355337,GDP per hour worked
2017,Germany,103.162111,GDP per hour worked
2018,Germany,103.375684,GDP per hour worked
2019,Germany,104.113236,GDP per hour worked
2020,Germany,105.31975,GDP per hour worked
2021,Germany,105.93029,GDP per hour worked
2022,Germany,106.460679,GDP per hour worked
2000,Greece,99.931244,GDP per hour worked
2001,Greece,104.006363,GDP per hour worked
2002,Greece,105.903786,GDP per hour worked
2003,Greece,110.602216,GDP per hour worked
2004,Greece,113.95015,GDP per hour worked
2005,Greece,110.72315,GDP per hour worked
2006,Greece,115.482578,GDP per hour worked
2007,Greece,118.477915,GDP per hour worked
2008,Greece,116.852308,GDP per hour worked
2009,Greece,113.813902,GDP per hour worked
2010,Greece,112.768278,GDP per hour worked
2011,Greece,104.811438,GDP per hour worked
2012,Greece,99.396383,GDP per hour worked
2013,Greece,97.136754,GDP per hour worked
2014,Greece,96.530055,GDP per hour worked
2015,Greece,100.0,GDP per hour worked
2016,Greece,95.857787,GDP per hour worked
2017,Greece,97.192622,GDP per hour worked
2018,Greece,93.804184,GDP per hour worked
2019,Greece,95.644556,GDP per hour worked
2020,Greece,98.568151,GDP per hour worked
2021,Greece,98.555131,GDP per hour worked
2022,Greece,99.755927,GDP per hour worked
2000,Hungary,69.258313,GDP per hour worked
2001,Hungary,73.252217,GDP per hour worked
2002,Hungary,77.419456,GDP per hour worked
2003,Hungary,80.214211,GDP per hour worked
2004,Hungary,85.031241,GDP per hour worked
2005,Hungary,90.523321,GDP per hour worked
2006,Hungary,94.371709,GDP per hour worked
2007,Hungary,96.715796,GDP per hour worked
2008,Hungary,99.270977,GDP per hour worked
2009,Hungary,96.284461,GDP per hour worked
2010,Hungary,97.518148,GDP per hour worked
2011,Hungary,100.095506,GDP per hour worked
2012,Hungary,98.813682,GDP per hour worked
2013,Hungary,99.585045,GDP per hour worked
2014,Hungary,98.424617,GDP per hour worked
2015,Hungary,100.0,GDP per hour worked
2016,Hungary,97.739834,GDP per hour worked
2017,Hungary,100.725809,GDP per hour worked
2018,Hungary,104.807861,GDP per hour worked
2019,Hungary,109.181988,GDP per hour worked
2020,Hungary,109.649229,GDP per hour worked
2021,Hungary,113.860246,GDP per hour worked
2022,Hungary,116.57385,GDP per hour worked
2000,Iceland,71.996279,GDP per hour worked
2001,Iceland,74.704431,GDP per hour worked
2002,Iceland,76.135828,GDP per hour worked
2003,Iceland,78.66312,GDP per hour worked
2004,Iceland,84.015009,GDP per hour worked
2005,Iceland,86.508456,GDP per hour worked
2006,Iceland,88.730449,GDP per hour worked
2007,Iceland,94.059521,GDP per hour worked
2008,Iceland,91.303145,GDP per hour worked
2009,Iceland,97.143961,GDP per hour worked
2010,Iceland,96.145908,GDP per hour worked
2011,Iceland,96.228729,GDP per hour worked
2012,Iceland,96.367313,GDP per hour worked
2013,Iceland,98.391482,GDP per hour worked
2014,Iceland,98.347418,GDP per hour worked
2015,Iceland,100.0,GDP per hour worked
2016,Iceland,101.109382,GDP per hour worked
2017,Iceland,101.932426,GDP per hour worked
2018,Iceland,104.539241,GDP per hour worked
2019,Iceland,107.764504,GDP per hour worked
2020,Iceland,106.094321,GDP per hour worked
2021,Iceland,110.009448,GDP per hour worked
2022,Iceland,110.268245,GDP per hour worked
2000,Ireland,56.645877,GDP per hour worked
2001,Ireland,58.726286,GDP per hour worked
2002,Ireland,61.778917,GDP per hour worked
2003,Ireland,63.503808,GDP per hour worked
2004,Ireland,66.250292,GDP per hour worked
2005,Ireland,66.910261,GDP per hour worked
2006,Ireland,68.0426,GDP per hour worked
2007,Ireland,69.808855,GDP per hour worked
2008,Ireland,68.704214,GDP per hour worked
2009,Ireland,73.266124,GDP per hour worked
2010,Ireland,77.782264,GDP per hour worked
2011,Ireland,80.206619,GDP per hour worked
2012,Ireland,80.701076,GDP per hour worked
2013,Ireland,78.62888,GDP per hour worked
2014,Ireland,82.822423,GDP per hour worked
2015,Ireland,100.0,GDP per hour worked
2016,Ireland,96.815128,GDP per hour worked
2017,Ireland,101.578633,GDP per hour worked
2018,Ireland,106.271065,GDP per hour worked
2019,Ireland,108.664237,GDP per hour worked
2020,Ireland,128.246668,GDP per hour worked
2021,Ireland,138.554505,GDP per hour worked
2022,Ireland,139.638032,GDP per hour worked
2000,Italy,99.118059,GDP per hour worked
2001,Italy,99.78275,GDP per hour worked
2002,Italy,99.00028,GDP per hour worked
2003,Italy,98.298734,GDP per hour worked
2004,Italy,99.123067,GDP per hour worked
2005,Italy,99.565938,GDP per hour worked
2006,Italy,99.346739,GDP per hour worked
2007,Italy,99.271227,GDP per hour worked
2008,Italy,98.70518,GDP per hour worked
2009,Italy,96.73892,GDP per hour worked
2010,Italy,98.938252,GDP per hour worked
2011,Italy,99.606174,GDP per hour worked
2012,Italy,99.073743,GDP per hour worked
2013,Italy,99.86123,GDP per hour worked
2014,Italy,99.940667,GDP per hour worked
2015,Italy,100.0,GDP per hour worked
2016,Italy,99.692606,GDP per hour worked
2017,Italy,100.335718,GDP per hour worked
2018,Italy,100.323292,GDP per hour worked
2019,Italy,100.82174,GDP per hour worked
2020,Italy,103.942159,GDP per hour worked
2021,Italy,102.146042,GDP per hour worked
2022,Italy,101.854776,GDP per hour worked
2000,Latvia,50.136843,GDP per hour worked
2001,Latvia,52.234448,GDP per hour worked
2002,Latvia,56.059871,GDP per hour worked
2003,Latvia,60.590619,GDP per hour worked
2004,Latvia,66.679449,GDP per hour worked
2005,Latvia,71.589803,GDP per hour worked
2006,Latvia,76.340834,GDP per hour worked
2007,Latvia,82.43881,GDP per hour worked
2008,Latvia,82.395386,GDP per hour worked
2009,Latvia,84.590478,GDP per hour worked
2010,Latvia,87.35522,GDP per hour worked
2011,Latvia,87.515313,GDP per hour worked
2012,Latvia,93.180855,GDP per hour worked
2013,Latvia,93.227711,GDP per hour worked
2014,Latvia,95.768473,GDP per hour worked
2015,Latvia,100.0,GDP per hour worked
2016,Latvia,102.640295,GDP per hour worked
2017,Latvia,106.975631,GDP per hour worked
2018,Latvia,108.898169,GDP per hour worked
2019,Latvia,111.665052,GDP per hour worked
2020,Latvia,114.106432,GDP per hour worked
2021,Latvia,123.106265,GDP per hour worked
2022,Latvia,128.933022,GDP per hour worked
2000,Lithuania,52.500276,GDP per hour worked
2001,Lithuania,58.563237,GDP per hour worked
2002,Lithuania,61.324488,GDP per hour worked
2003,Lithuania,66.950441,GDP per hour worked
2004,Lithuania,68.637759,GDP per hour worked
2005,Lithuania,73.254776,GDP per hour worked
2006,Lithuania,79.281199,GDP per hour worked
2007,Lithuania,84.940907,GDP per hour worked
2008,Lithuania,87.025483,GDP per hour worked
2009,Lithuania,83.24896,GDP per hour worked
2010,Lithuania,87.983806,GDP per hour worked
2011,Lithuania,94.029757,GDP per hour worked
2012,Lithuania,95.946361,GDP per hour worked
2013,Lithuania,98.887005,GDP per hour worked
2014,Lithuania,100.794043,GDP per hour worked
2015,Lithuania,100.0,GDP per hour worked
2016,Lithuania,98.994124,GDP per hour worked
2017,Lithuania,106.33147,GDP per hour worked
2018,Lithuania,108.61201,GDP per hour worked
2019,Lithuania,112.937129,GDP per hour worked
2020,Lithuania,119.77332,GDP per hour worked
2021,Lithuania,123.875578,GDP per hour worked
2022,Lithuania,120.480399,GDP per hour worked
2000,Luxembourg,97.67673,GDP per hour worked
2001,Luxembourg,95.946411,GDP per hour worked
2002,Luxembourg,96.679855,GDP per hour worked
2003,Luxembourg,97.386617,GDP per hour worked
2004,Luxembourg,99.194248,GDP per hour worked
2005,Luxembourg,100.180217,GDP per hour worked
2006,Luxembourg,102.262274,GDP per hour worked
2007,Luxembourg,104.976601,GDP per hour worked
2008,Luxembourg,99.90781,GDP per hour worked
2009,Luxembourg,99.706148,GDP per hour worked
2010,Luxembourg,101.385352,GDP per hour worked
2011,Luxembourg,99.600059,GDP per hour worked
2012,Luxembourg,99.210285,GDP per hour worked
2013,Luxembourg,101.025243,GDP per hour worked
2014,Luxembourg,100.774324,GDP per hour worked
2015,Luxembourg,100.0,GDP per hour worked
2016,Luxembourg,101.989921,GDP per hour worked
2017,Luxembourg,100.480067,GDP per hour worked
2018,Luxembourg,98.797902,GDP per hour worked
2019,Luxembourg,98.604148,GDP per hour worked
2020,Luxembourg,101.794205,GDP per hour worked
2021,Luxembourg,101.767374,GDP per hour worked
2022,Luxembourg,100.3931,GDP per hour worked
2000,Netherlands,88.005142,GDP per hour worked
2001,Netherlands,88.894109,GDP per hour worked
2002,Netherlands,89.542943,GDP per hour worked
2003,Netherlands,90.725272,GDP per hour worked
2004,Netherlands,92.289979,GDP per hour worked
2005,Netherlands,94.493797,GDP per hour worked
2006,Netherlands,95.899245,GDP per hour worked
2007,Netherlands,96.756054,GDP per hour worked
2008,Netherlands,97.311535,GDP per hour worked
2009,Netherlands,95.116484,GDP per hour worked
2010,Netherlands,97.080729,GDP per hour worked
2011,Netherlands,97.702861,GDP per hour worked
2012,Netherlands,97.557434,GDP per hour worked
2013,Netherlands,98.298779,GDP per hour worked
2014,Netherlands,99.026646,GDP per hour worked
2015,Netherlands,100.0,GDP per hour worked
2016,Netherlands,99.844061,GDP per hour worked
2017,Netherlands,100.387115,GDP per hour worked
2018,Netherlands,100.064801,GDP per hour worked
2019,Netherlands,99.395132,GDP per hour worked
2020,Netherlands,99.539756,GDP per hour worked
2021,Netherlands,102.30501,GDP per hour worked
2022,Netherlands,102.692374,GDP per hour worked
2000,Norway,90.534798,GDP per hour worked
2001,Norway,93.890821,GDP per hour worked
2002,Norway,95.91104,GDP per hour worked
2003,Norway,99.025267,GDP per hour worked
2004,Norway,101.074629,GDP per hour worked
2005,Norway,102.190857,GDP per hour worked
2006,Norway,101.519448,GDP per hour worked
2007,Norway,99.692935,GDP per hour worked
2008,Norway,96.742409,GDP per hour worked
2009,Norway,96.664018,GDP per hour worked
2010,Norway,97.157823,GDP per hour worked
2011,Norway,96.512861,GDP per hour worked
2012,Norway,97.353585,GDP per hour worked
2013,Norway,97.954381,GDP per hour worked
2014,Norway,98.738413,GDP per hour worked
2015,Norway,100.0,GDP per hour worked
2016,Norway,100.669968,GDP per hour worked
2017,Norway,102.753489,GDP per hour worked
2018,Norway,101.958227,GDP per hour worked
2019,Norway,101.566262,GDP per hour worked
2020,Norway,102.484362,GDP per hour worked
2021,Norway,103.995967,GDP per hour worked
2022,Norway,103.376935,GDP per hour worked
2000,Poland,63.769914,GDP per hour worked
2001,Poland,65.973201,GDP per hour worked
2002,Poland,69.585842,GDP per hour worked
2003,Poland,72.669024,GDP per hour worked
2004,Poland,75.422037,GDP per hour worked
2005,Poland,76.620798,GDP per hour worked
2006,Poland,78.754908,GDP per hour worked
2007,Poland,80.804122,GDP per hour worked
2008,Poland,81.429216,GDP per hour worked
2009,Poland,84.064151,GDP per hour worked
2010,Poland,89.116174,GDP per hour worked
2011,Poland,93.31956,GDP per hour worked
2012,Poland,94.895242,GDP per hour worked
2013,Poland,95.948364,GDP per hour worked
2014,Poland,97.622509,GDP per hour worked
2015,Poland,100.0,GDP per hour worked
2016,Poland,102.001142,GDP per hour worked
2017,Poland,106.982369,GDP per hour worked
2018,Poland,114.261674,GDP per hour worked
2019,Poland,119.703575,GDP per hour worked
2020,Poland,118.207222,GDP per hour worked
2021,Poland,119.27761,GDP per hour worked
2022,Poland,125.952025,GDP per hour worked
2000,Portugal,86.104635,GDP per hour worked
2001,Portugal,87.022077,GDP per hour worked
2002,Portugal,87.674989,GDP per hour worked
2003,Portugal,88.03249,GDP per hour worked
2004,Portugal,89.952471,GDP per hour worked
2005,Portugal,90.974681,GDP per hour worked
2006,Portugal,92.665839,GDP per hour worked
2007,Portugal,94.119584,GDP per hour worked
2008,Portugal,94.728333,GDP per hour worked
2009,Portugal,94.320209,GDP per hour worked
2010,Portugal,97.19907,GDP per hour worked
2011,Portugal,98.642516,GDP per hour worked
2012,Portugal,99.606801,GDP per hour worked
2013,Portugal,101.046899,GDP per hour worked
2014,Portugal,100.020753,GDP per hour worked
2015,Portugal,100.0,GDP per hour worked
2016,Portugal,100.06329,GDP per hour worked
2017,Portugal,100.877896,GDP per hour worked
2018,Portugal,100.783374,GDP per hour worked
2019,Portugal,102.310317,GDP per hour worked
2020,Portugal,103.385669,GDP per hour worked
2021,Portugal,104.766341,GDP per hour worked
2022,Portugal,111.15899,GDP per hour worked
2000,Romania,43.951489,GDP per hour worked
2001,Romania,46.754017,GDP per hour worked
2002,Romania,54.579905,GDP per hour worked
2003,Romania,56.800115,GDP per hour worked
2004,Romania,63.615686,GDP per hour worked
2005,Romania,67.132879,GDP per hour worked
2006,Romania,72.599874,GDP per hour worked
2007,Romania,76.581868,GDP per hour worked
2008,Romania,85.083007,GDP per hour worked
2009,Romania,84.345513,GDP per hour worked
2010,Romania,82.622087,GDP per hour worked
2011,Romania,87.993836,GDP per hour worked
2012,Romania,90.257147,GDP per hour worked
2013,Romania,91.559435,GDP per hour worked
2014,Romania,95.347328,GDP per hour worked
2015,Romania,100.0,GDP per hour worked
2016,Romania,102.68697,GDP per hour worked
2017,Romania,109.920258,GDP per hour worked
2018,Romania,116.367559,GDP per hour worked
2019,Romania,119.622166,GDP per hour worked
2020,Romania,120.772391,GDP per hour worked
2021,Romania,122.138585,GDP per hour worked
2022,Romania,127.519995,GDP per hour worked
2000,Russia,63.511681,GDP per hour worked
2001,Russia,66.758437,GDP per hour worked
2002,Russia,68.245369,GDP per hour worked
2003,Russia,73.068583,GDP per hour worked
2004,Russia,77.331225,GDP per hour worked
2005,Russia,81.346256,GDP per hour worked
2006,Russia,86.709834,GDP per hour worked
2007,Russia,91.776863,GDP per hour worked
2008,Russia,96.152366,GDP per hour worked
2009,Russia,91.815928,GDP per hour worked
2010,Russia,94.989062,GDP per hour worked
2011,Russia,97.601403,GDP per hour worked
2012,Russia,100.399305,GDP per hour worked
2013,Russia,102.485456,GDP per hour worked
2014,Russia,102.767518,GDP per hour worked
2015,Russia,100.0,GDP per hour worked
2016,Russia,100.301006,GDP per hour worked
2017,Russia,101.982307,GDP per hour worked
2018,Russia,105.010968,GDP per hour worked
2019,Russia,108.312295,GDP per hour worked
2020,Russia,112.299021,GDP per hour worked
2021,Russia,,GDP per hour worked
2022,Russia,,GDP per hour worked
2000,Slovak Republic,58.450535,GDP per hour worked
2001,Slovak Republic,60.502381,GDP per hour worked
2002,Slovak Republic,64.852249,GDP per hour worked
2003,Slovak Republic,69.939165,GDP per hour worked
2004,Slovak Republic,71.918667,GDP per hour worked
2005,Slovak Republic,74.29163,GDP per hour worked
2006,Slovak Republic,78.73689,GDP per hour worked
2007,Slovak Republic,84.679472,GDP per hour worked
2008,Slovak Republic,86.504499,GDP per hour worked
2009,Slovak Republic,84.027822,GDP per hour worked
2010,Slovak Republic,89.798014,GDP per hour worked
2011,Slovak Republic,91.203199,GDP per hour worked
2012,Slovak Republic,92.564114,GDP per hour worked
2013,Slovak Republic,94.803338,GDP per hour worked
2014,Slovak Republic,96.661922,GDP per hour worked
2015,Slovak Republic,100.0,GDP per hour worked
2016,Slovak Republic,100.379876,GDP per hour worked
2017,Slovak Republic,102.645876,GDP per hour worked
2018,Slovak Republic,105.286173,GDP per hour worked
2019,Slovak Republic,107.567588,GDP per hour worked
2020,Slovak Republic,114.069058,GDP per hour worked
2021,Slovak Republic,119.38223,GDP per hour worked
2022,Slovak Republic,116.498106,GDP per hour worked
2000,Slovenia,76.288661,GDP per hour worked
2001,Slovenia,78.951283,GDP per hour worked
2002,Slovenia,79.298174,GDP per hour worked
2003,Slovenia,81.746584,GDP per hour worked
2004,Slovenia,84.427877,GDP per hour worked
2005,Slovenia,90.134493,GDP per hour worked
2006,Slovenia,95.478905,GDP per hour worked
2007,Slovenia,99.578566,GDP per hour worked
2008,Slovenia,99.443009,GDP per hour worked
2009,Slovenia,93.167784,GDP per hour worked
2010,Slovenia,96.366367,GDP per hour worked
2011,Slovenia,99.864334,GDP per hour worked
2012,Slovenia,99.292575,GDP per hour worked
2013,Slovenia,98.320726,GDP per hour worked
2014,Slovenia,99.445673,GDP per hour worked
2015,Slovenia,100.0,GDP per hour worked
2016,Slovenia,103.474614,GDP per hour worked
2017,Slovenia,107.368238,GDP per hour worked
2018,Slovenia,109.957683,GDP per hour worked
2019,Slovenia,111.220721,GDP per hour worked
2020,Slovenia,112.078843,GDP per hour worked
2021,Slovenia,115.169252,GDP per hour worked
2022,Slovenia,113.49593,GDP per hour worked
2000,Spain,86.853672,GDP per hour worked
2001,Spain,86.992814,GDP per hour worked
2002,Spain,87.127687,GDP per hour worked
2003,Spain,87.38699,GDP per hour worked
2004,Spain,87.667071,GDP per hour worked
2005,Spain,88.009535,GDP per hour worked
2006,Spain,88.524184,GDP per hour worked
2007,Spain,89.502613,GDP per hour worked
2008,Spain,89.733039,GDP per hour worked
2009,Spain,91.895675,GDP per hour worked
2010,Spain,94.231736,GDP per hour worked
2011,Spain,95.622838,GDP per hour worked
2012,Spain,97.467504,GDP per hour worked
2013,Spain,98.90578,GDP per hour worked
2014,Spain,99.211993,GDP per hour worked
2015,Spain,100.0,GDP per hour worked
2016,Spain,100.457181,GDP per hour worked
2017,Spain,101.334899,GDP per hour worked
2018,Spain,101.103306,GDP per hour worked
2019,Spain,101.664137,GDP per hour worked
2020,Spain,101.486085,GDP per hour worked
2021,Spain,100.71623,GDP per hour worked
2022,Spain,102.538091,GDP per hour worked
2000,Sweden,79.629707,GDP per hour worked
2001,Sweden,80.260403,GDP per hour worked
2002,Sweden,83.169216,GDP per hour worked
2003,Sweden,86.31414,GDP per hour worked
2004,Sweden,89.352479,GDP per hour worked
2005,Sweden,91.891042,GDP per hour worked
2006,Sweden,94.537496,GDP per hour worked
2007,Sweden,94.809611,GDP per hour worked
2008,Sweden,93.140242,GDP per hour worked
2009,Sweden,91.828442,GDP per hour worked
2010,Sweden,95.047112,GDP per hour worked
2011,Sweden,95.817586,GDP per hour worked
2012,Sweden,95.358961,GDP per hour worked
2013,Sweden,96.122048,GDP per hour worked
2014,Sweden,97.218063,GDP per hour worked
2015,Sweden,100.0,GDP per hour worked
2016,Sweden,99.384945,GDP per hour worked
2017,Sweden,100.270459,GDP per hour worked
