STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2003,,87.440463,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2003,,98.298734,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2004,,92.289979,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2004,,66.250292,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2004,,88.009843,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2002,,87.127687,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2002,,90.267824,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2006,,101.519448,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2006,,91.379979,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2006,,94.371709,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2006,,115.482578,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2006,,94.536022,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2006,,88.300324,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2006,,98.01956,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,RUS,Russia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2001,,66.758437,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,103.376935,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2002,,99.00028,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2002,,86.020806,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2002,,89.542943,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BGR,Bulgaria,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2001,,66.295349,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2001,,80.260403,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2001,,89.163111,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2001,,74.704431,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2005,,90.134493,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2005,,67.132879,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2005,,81.218156,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2005,,77.398474,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2005,,93.971437,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2021,,115.169252,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2021,,122.138585,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2021,,122.809256,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2021,,108.386615,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2021,,103.229623,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,RUS,Russia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2007,,91.776863,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2007,,82.43881,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2007,,84.679472,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2007,,94.119584,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2007,,104.976601,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lithuania,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2009,,83.24896,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BGR,Bulgaria,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2009,,84.667213,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2009,,91.828442,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2009,,94.440997,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2009,,97.143961,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2010,,94.231736,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2010,,98.053752,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2012,,94.347202,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2012,,97.557434,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2012,,94.895242,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2012,,80.701076,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2012,,97.610973,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2008,,98.225392,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2008,,81.429216,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2020,,96.628247,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2020,,99.539756,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2016,,102.640295,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,RUS,Russia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2016,,100.301006,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2016,,100.379876,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2016,,101.989921,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,100.020753,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,95.768473,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,RUS,Russia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,102.767518,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,96.661922,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,100.774324,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2020,,118.207222,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2020,,128.246668,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2020,,103.701761,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2011,,98.282918,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2011,,94.491438,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2011,,99.606174,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2018,,101.103306,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2018,,104.616177,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2019,,102.310317,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2019,,106.133113,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2019,,100.82174,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2013,,98.320726,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2013,,91.559435,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2013,,98.046719,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2013,,96.12967,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2013,,97.085446,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lithuania,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2017,,106.33147,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BGR,Bulgaria,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2017,,103.550308,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2017,,100.270459,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2017,,102.395091,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2017,,101.932426,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,98.738413,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,98.424617,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,96.530055,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,99.49312,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,95.029948,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2014,,99.23664,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2016,,99.39092,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,RUS,Russia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2015,,100,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2015,,100,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2015,,100,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2015,,100,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2021,,126.155603,,E,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,128.933022,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,116.498106,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,100.3931,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,104.285141,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,113.49593,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Romania,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,127.519995,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,115.69194,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,107.025198,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,124.768544,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,101.839995,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,RUS,Russia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2000,,63.511681,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2000,,79.629707,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BGR,Bulgaria,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2000,,63.819963,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2000,,71.996279,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2000,,87.525502,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2000,,86.853672,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2000,,50.136843,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2000,,58.450535,,A,,,,,,,
